"iteration","tmat","fmat","dlm","LH_2022_class1","LH_2022_class2","LH_2022_class3","LH_2023_class1","LH_2023_class2","LH_2023_class3","LH_2024_class1","LH_2024_class2","LH_2024_class3","LH_2025_class1","LH_2025_class2","LH_2025_class3","OBC_2022_class1","OBC_2022_class2","OBC_2022_class3","OBC_2025_class1","OBC_2025_class2","OBC_2025_class3"
90,0.915994445607066,0.85920622398844,0.265420632809401,1,1655,54448,189588.373149404,71328.5742240962,69753.2320458318,299360.558131227,98254.2227895344,96837.8052938745,399173.70820253,137571.201402125,135546.407754786,1,1,1770,11151.5414650751,308904.445995208,310838.914637872
91,1.04440001072362,0.95740696558496,0.312394251546357,1,1655,54448,52931.2384800926,81327.5277397294,79531.3515775667,94432.8304321569,61625.8585526611,62535.2860291897,75128.339482778,61703.8391904795,61833.7032304847,1,1,1770,3885.82077968519,369046.123280639,372879.26607128
92,0.87104359054938,0.73741949647665,0.214229698432609,1,1655,54448,669035.053612585,67828.2468839082,66330.2119188709,1000041.02790693,250895.719445509,242871.790508806,3033781.60972605,410823.397342108,402606.660848844,1,1,1770,37464.8629679239,297623.202137478,298650.590789178
93,1.02169661568478,0.943130784900859,0.217288042791188,1,1655,54448,788386.279988006,79559.6122180431,77802.4817247336,1348472.59116233,344941.653642278,333912.414778661,4504681.37404403,651927.4338444,639117.134653511,1,1,1770,48773.6950480977,375492.719200074,378241.494425886
94,1.6888638724573,1.0651257491787,0.106970990740228,1,1655,54448,14189880.7785951,131511.989683658,128607.454067325,7911315.08650769,9195902.10914068,8822327.70500564,275868445.552426,10712283.0523667,10893775.4424685,1,1,1770,959846.385370147,1440673.23292383,1434267.54774377
95,0.897431994322687,1.05090471645817,0.238962770695798,1,1655,54448,487159.358086456,69883.1143847175,68339.6962127399,750946.918501774,197191.015187884,191550.457239789,1839561.43353729,320894.047864114,314746.832678495,1,1,1770,27708.4711766378,306384.737754715,307847.350660464
96,1.35040492182598,1.13279775946867,0.290853520587552,1,1655,54448,119452.789992512,105156.159145935,102833.710749778,271165.227425859,125471.547470581,126058.066610323,323898.061088038,201699.090247195,200360.322488718,1,1,1770,9224.8702913895,546854.246836197,556719.733599695
97,1.02882996369153,1.09765855137957,0.171741180610843,1,1655,54448,3008702.99729898,80115.0867028572,78345.6881613721,4313419.06851753,1214916.92138737,1167733.02986266,13697561.5370715,2139631.32486962,2101141.43625209,1,1,1770,201157.835553745,434204.404710132,434807.055467113
98,1.75891856076196,1.2627492873813,0.152737156278454,1,1655,54448,5573401.41172607,136967.154896121,133942.13808495,6263124.75534442,3826220.75175371,3676857.6613619,45513934.7566859,6627395.69810468,6623722.7625805,1,1,1770,446346.123775848,1110760.34883629,1122673.33093549
99,1.78898384813219,1.12902717655525,0.266867358784657,1,1655,54448,239177.542536554,139308.341670824,136231.61808837,701523.537209716,269726.434709679,268695.179102107,1240198.57233753,653217.948005846,646013.345918238,1,1,1770,19643.2399573756,875534.540939926,899185.101409599
100,1.82527714632452,0.711412161763292,0.326725196058396,1,1655,54448,25596.38564738,142134.504238036,138995.362849769,76523.0519044525,129046.876541996,134287.299779696,74321.2733786068,140097.584915878,144307.285409506,1,1,1770,3224.22692046379,895570.333964872,921127.794723826
101,1.16929434798658,0.797717640257906,0.292494796472602,1,1655,54448,80187.9640857837,91053.0616098897,89042.0901307245,159153.397866261,85224.8831149329,86032.8145729054,153228.171127841,107834.081917342,107508.996273126,1,1,1770,5942.41542590899,437005.61715165,442972.966045477
